subgroup_type,subgroup,n,dwe
age,<40,284,0.31338028169014087
age,40-60,639,0.48043818466353677
age,60-75,749,0.48731642189586116
age,>75,486,0.5452674897119342
sex,female,1110,0.4099099099099099
sex,male,1048,0.5448473282442748
